,id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
2326,1,2023-08-19 08:16:00,Extra,LRF5 - Superfície,2023-08-19 08:13:00,2023-08-19 08:16:00,,,23.2,,7.03,,,,,,,,,,,,,,
2327,1,2024-08-20 09:33:00,Extra,LRF5 - Superfície,2024-08-20 09:30:00,2024-08-20 09:33:00,,,23.2,,6.5,,,,,,,,,,,,,,
2328,1,2023-08-13 09:23:00,Extra,LRF3 - Fundo,2023-08-13 09:20:00,2023-08-13 09:23:00,,,23.2,,6.32,,,,,,,,,,,,,,
2329,1,2023-08-13 10:01:00,Extra,LRF6 - Fundo,2023-08-13 09:58:00,2023-08-13 10:01:00,,,23.2,,7.04,,,,,,,,,,,,,,
2330,1,2024-08-20 09:39:00,Extra,LRF6 - Superfície,2024-08-20 09:36:00,2024-08-20 09:39:00,,,23.2,,6.71,,,,,,,,,,,,,,
2331,1,2024-08-13 10:01:00,Extra,LRF6 - Fundo,2024-08-13 09:58:00,2024-08-13 10:01:00,,,23.2,,7.04,,,,,,,,,,,,,,
2332,1,2023-05-27 10:05:00,Extra,LRF4 - Fundo,2023-05-27 10:02:00,2023-05-27 10:05:00,,,23.2,,4.71,,,,,,,,,,,,,,
2333,1,2023-08-20 09:33:00,Extra,LRF5 - Superfície,2023-08-20 09:30:00,2023-08-20 09:33:00,,,23.2,,6.5,,,,,,,,,,,,,,
2334,1,2022-06-10 11:28:00,Sedimento,LRF2 - Fundo,2022-06-10 11:13:00,2022-06-10 11:28:00,7.32,23.0,23.2,11.4,1.52,,,,,,,,,0.77,,,,,7.03
2335,1,2023-05-27 10:19:00,Extra,LRF2 - Fundo,2023-05-27 10:15:00,2023-05-27 10:19:00,,,23.2,,3.87,,,,,,,,,,,,,,
2336,1,2022-07-18 11:11:00,Regular,LRF6 - Fundo,2022-07-18 11:08:00,2022-07-18 11:11:00,7.97,,23.2,13.75,2.49,5.02,,,2.0,,,0.136,0.078,,<0.016,0.068,3.1,<0.1,
2337,1,2022-06-08 12:46:00,Regular,LRF2 - Meio Afótico,2022-06-08 12:43:00,2022-06-08 12:46:00,8.22,,23.2,10.4,6.32,4.17,,,2.0,,,0.14,0.115,,<0.016,0.065,1.7,<0.1,
2338,1,2022-09-14 11:49:00,Regular,LRF2 - Meio Afótico,2022-09-14  11:46,2022-09-14 11:49:00,7.15,,23.2,14.8,6.68,3.36,,,2.0,,,0.18,0.053,,<0.016,<0.05,3.6,<0.1,
2339,1,2022-07-11 12:53:00,Regular,LRF2 - Meio Afótico,2022-07-11 12:50:00,2022-07-11 12:53:00,8.6,,23.2,14.2,7.19,6.98,,,2.0,,,0.046,0.056,,<0.016,<0.05,2.6,<0.1,
2340,1,2022-09-12 10:19:00,Regular,LRF3 - Meio Afótico,2022-09-12 10:15:00,2022-09-12 10:19:00,6.69,,23.2,13.5,5.84,2.42,,,2.0,,,0.17,0.043,,<0.016,0.075,3,<0.1,
2341,1,2022-09-14 10:49:00,Regular,LRF3 - Meio Afótico,2022-09-14  10:46,2022-09-14 10:49:00,6.94,,23.2,14,6.71,2.53,,,2.0,,,0.17,0.053,,<0.016,0.055,3.5,<0.1,
2342,1,2022-07-11 13:39:00,Regular,LRF5 - Fundo,2022-07-11 13:36:00,2022-07-11 13:39:00,8.95,,23.2,14.1,8.5,13.6,,,2.5,,,0.046,0.105,,<0.016,<0.05,2.5,<0.1,
2343,1,2022-08-29 14:39:00,Regular,LRF4 - Fundo,2022-08-29 14:36:00,2022-08-29 14:39:00,8.17,,23.2,14.1,7.8,4.08,,,3.0,,,0.05,0.05,,<0.016,<0.05,2.1,<0.1,
2344,1,2024-06-14 13:09:00,Regular,LRF5 - Fundo,2024-06-14 13:06:00,2024-06-14 13:09:00,7.32,,23.2,9.88,5.35,2.64,,,3.0,,,0.16,0.016,,<0.016,0.3,5.2,<0.1,
2345,1,2024-08-28 12:54:00,Regular,LRF1 - Fundo,2024-08-28 12:51:00,2024-08-28 12:54:00,7.07,,23.2,11,2.92,5.06,,,3.0,,,0.19,0.024,,0.016,0.24,4.7,<0.1,
2346,1,2023-08-28 12:54:00,Regular,LRF1 - Fundo,2023-08-28 12:51:00,2023-08-28 12:54:00,7.07,,23.2,11,2.92,5.06,,,3.0,,,0.19,0.024,,0.016,0.24,4.7,<0.1,
2347,1,2023-06-14 13:09:00,Regular,LRF5 - Fundo,2023-06-14 13:06:00,2023-06-14 13:09:00,7.32,,23.2,9.88,5.35,2.64,,,3.0,,,0.16,0.016,,<0.016,0.3,5.2,<0.1,
2348,1,2022-09-12 11:27:00,Regular,LRF6 - Fundo,2022-09-12 11:23:00,2022-09-12 11:27:00,7.19,,23.2,13.5,5.94,2.21,,,3.0,,,0.15,0.036,,<0.016,0.076,3,<0.1,
2349,1,2023-05-24 12:26:00,Regular,LRF6 - Fundo,2023-05-24 12:53:00,2023-05-24 12:26:00,7.1,,23.2,11.1,5.31,<1.5,,,3.0,,,0.07,0.029,,<0.016,0.11,6.4,<0.1,
2350,1,2024-09-04 14:36:00,Regular,LRF4 - Fundo,2024-09-04 14:33:00,2024-09-04 14:36:00,7.0,,23.2,11.8,0.23,4.15,,,3.0,,,0.12,0.041,,0.036,0.23,6.086,0.1,
2351,1,2022-07-18 10:03:00,Regular,LRF3 - Fundo,2022-07-18 10:00:00,2022-07-18 10:03:00,7.88,,23.2,13.47,2.35,4.67,,,3.0,,,0.148,0.086,,<0.016,<0.05,3.3,<0.1,
2352,1,2023-09-04 14:36:00,Regular,LRF4 - Fundo,2023-09-04 14:33:00,2023-09-04 14:36:00,7.0,,23.2,11.8,0.23,4.15,,,3.0,,,0.12,0.041,,0.036,0.23,6.086,0.1,
2353,1,2024-05-24 12:26:00,Regular,LRF6 - Fundo,2024-05-24 12:53:00,2024-05-24 12:26:00,7.1,,23.2,11.1,5.31,<1.5,,,3.0,,,0.07,0.029,,<0.016,0.11,6.4,<0.1,
